"OBJECTID","GISPROPNUM","DEPARTMENT,C,25","ACRES","JURISDICTION","NAME","SHAPE_STA","SHAPE_STL","PRM"
6490,"Q162D","Q-14",0.00000000000,"-",,50094.80424500000,1234.01084426000,"Dan Piastuck"
6491,"Q162D01","Q-14",0.00000000000,"-",,3534.03250122000,271.91468623700,"Dan Piastuck"
6492,"Q162B01","Q-14",0.00000000000,"-",,3711.48077393000,296.03853680900,"Dan Piastuck"
6493,"Q162F","Q-14",0.00000000000,"-",,127772.74098200000,2492.89712759000,"Dan Piastuck"
6494,"Q162G14","Q-14",0.00000000000,"-",,5535.71266174000,506.61926913600,"Dan Piastuck"
6495,"Q162G13","Q-14",0.00000000000,"-",,73904.96209720000,1483.91891039000,"Dan Piastuck"
6496,"Q162G12","Q-14",0.00000000000,"-",,21929.15884400000,619.27188278300,"Dan Piastuck"
6497,"Q162G11","Q-14",0.00000000000,"-",,8143.31411743000,458.97645761100,"Dan Piastuck"
6498,"Q162G10","Q-14",0.00000000000,"-",,8795.03016663000,478.99815228700,"Dan Piastuck"
6499,"Q162G09","Q-14",0.00000000000,"-",,3854.57479858000,263.67518849300,"Dan Piastuck"
6500,"Q162G08","Q-14",0.00000000000,"-",,3905.30752563000,271.20812212900,"Dan Piastuck"
6501,"Q162G07","Q-14",0.00000000000,"-",,4093.19519043000,282.20872506500,"Dan Piastuck"
6502,"Q162G06","Q-14",0.00000000000,"-",,3852.50291443000,273.28964748700,"Dan Piastuck"
6503,"Q162G05","Q-14",0.00000000000,"-",,3679.86959839000,269.69571951600,"Dan Piastuck"
6504,"Q162G04","Q-14",0.00000000000,"-",,5096.43115234000,337.51886020600,"Dan Piastuck"
6505,"Q162G03","Q-14",0.00000000000,"-",,6729.93659973000,435.64753987500,"Dan Piastuck"
6506,"Q162A","Q-14",0.00000000000,"-",,75635.28500370000,1766.28325069000,"Dan Piastuck"
6507,"Q162QC","Q-14",0.00000000000,"-",,69076.00744630000,1260.69832507000,"Dan Piastuck"
6508,"MT03","M-07",0.00000000000,"DCAS","Arsenal West",10411.62573240000,408.18020573900,"Robert McLean"
6509,"MT06","M-01",0.00000000000,"DPR","51 Chambers",200.00263977100,60.00031099550,"Ralph Musolino"
6510,"MT04","M-01",0.00000000000,"CDOT","Coenties Slip",5549.58042908000,328.57409948600,"Ralph Musolino"
6511,"BT09","B-01",0.00000000000,"CDOT","Manhattan Ave Street End",11194.78910830000,507.35417486800,"Shavonne Vyphius"
6512,"MT01","M-01",0.00000000000,"CDOT","Mannahatta Park",21856.65040590000,897.01141820700,"Ralph Musolino"
6513,"B412","B-04",0.00000000000,"-","Ridgewood/Bushwick Youth Center",43684.99725340000,1012.90403650000,"Emilio Llopiz"
6514,"X140","X-10",0.00000000000,"-",,558.71405029300,128.17035889400,"Michael Holoszyc"
6515,"M391","M-01",0.00000000000,"DSBS","East River Waterfront Esplanade",381636.04649400000,16050.26943570000,"Ralph Musolino"
6516,"QT04","Q-08",0.00000000000,"CDOT","Queens Gate",30331.72898860000,1941.59054375000,"Vacant"
6517,"BT10","B-15",0.00000000000,"CDOT","Holocaust Memorial Park",42431.72357180000,1008.31445470000,"James Cruickshank"
6518,"BT11","B-07",0.00000000000,"CDOT","Park",2216.92903137000,210.44190368600,"Macceau Medozile"
6519,"Q049","Q-84",0.00000000000,"-","Jacobs Riis Park",10914277.02990000000,15115.91104980000,"Dan Piastuck"
6520,"QT05","Q-05",0.00000000000,"CDOT","Copernicus Triangle",8876.44407654000,438.16706780700,"Minerva Del Real"
6521,"QT06","Q-02",0.00000000000,"TBTA","Old Hickory Park",9759.62120056000,599.31425141900,"Norman Chan"
6522,"QT07","Q-06",0.00000000000,"CDOT","Federoff Triangle",2201.10559082000,203.88355173800,"Minerva Del Real"
6523,"QT08","Q-09",0.00000000000,"CDOT","Newcombe Square",3692.04441833000,370.54328228200,"Vacant"
6524,"QT09","Q-06",0.00000000000,"CDOT","Plaza 67",4761.31718445000,300.32889887100,"Minerva Del Real"
6525,"QT10","Q-14",0.00000000000,"CDOT","Gwirtzman Triangle",6560.82109070000,426.96069847500,"Dan Piastuck"
6526,"BT14","B-15",0.00000000000,"CDOT","Shore Boulevard Malls",142060.81375100000,9529.30240641000,"James Cruickshank"
6527,"RT04","R-02",0.00000000000,"CDOT","Korean War Veterans Memorial Park",40662.65740970000,1095.94369097000,"Bonnie Williams"
6528,"BT15","B-07",0.00000000000,"DPR/EDC","Bush Terminal Park",963577.62292500000,5068.14127096000,"Macceau Medozile"
6529,"MT09","M-02",0.00000000000,"CDOT","Winston Churchill Square",1779.62982178000,202.53116572600,"Ralph Musolino"
6530,"QT11","Q-12",0.00000000000,"CDOT","Mall",45092.72695920000,2333.33163505000,"Joseph Mauro"
6531,"QT12","Q-08",0.00000000000,"CDOT","Mall Sixty-Nine",15590.89631650000,2640.00952236000,"Vacant"
6532,"MT10","M-02",0.00000000000,"CDOT","Little Red Square",3104.59117126000,281.48532050900,"Ralph Musolino"
6533,"QT13","Q-11",0.00000000000,"CDOT","Park",7222.66159058000,364.47857647600,"Joe Block"
6534,"QT15","Q-13",0.00000000000,"CDOT","Hollis Court Malls",39170.01231380000,5629.82168034000,"Joe Block"
6535,"QT16","Q-13",0.00000000000,"CDOT","211 Malls",20420.26063540000,2695.22454792000,"Joe Block"
6536,"B169C","B-13",0.00000000000,"-","Boardwalk Garden",44612.59483340000,880.58121136300,"James Cruickshank"
6537,"B198","B-18",0.00000000000,"-","Kings Highway Malls",268868.31919900000,63784.87807080000,"Martin Geoffrey"
6539,"QT14","Q-12",0.00000000000,"CDOT","Benigno Aquino Triangle",1976.85766602000,277.59181889100,"Joseph Mauro"
6541,"X066","X-07",0.00000000000,"-",,4996.55827332000,302.98103985600,"Tony Rosa"
6543,"QT17","Q-02",0.00000000000,"CDOT","Triangle 54",8216.73170471000,403.61597286000,"Norman Chan"
6544,"QT18","Q-06",0.00000000000,"CDOT","Ian Maclennan Garden",6674.30453491000,355.01594099900,"Minerva Del Real"
6548,"Q115",,0.00000000000,"DSNY","Park",62350.06892400000,1014.80015496000,
6549,"Q114",,0.00000000000,"CDOT",,55683.67155460000,1357.33693969000,
6551,"M007","M-01",1.01600000000,"DPR","Bowling Green",50649.21600340000,1191.00110962000,"Ralph Musolino"
6552,"X130","X-04",0.09000000000,"DPR","Barry Plaza",4584.27043152000,365.25290887200,"Eduardo Hernandez"
6553,"M013","M-01",8.80000000000,"DPR","City Hall Park",410763.08470200000,2679.76647728000,"Ralph Musolino"
6554,"M062","M-13",0.62500000000,"DPR","Grand Army Plaza",29553.88157650000,656.59049841100,"Christopher Nolan"
6555,"B130","B-07",3.39000000000,"DPR","Greenwood Playground",140724.22483800000,2288.68992313000,"Macceau Medozile"
6556,"B159","B-08",7.79000000000,"DPR","Mount Prospect Park",359078.88937400000,2355.84119749000,"C. Ronald Taylor"
6557,"B166D","B-18",77.18100000000,"DPR","McGuire Fields",3272079.97115000000,14548.88135510000,"Martin Geoffrey"
6558,"B192A","B-10",6.02000000000,"DOE","Fort Hamilton Athletic Field",262367.63722200000,2060.80795058000,"Elizabeth Walsack"
6559,"B205","B-15",0.05100000000,"DPR","Corporal Wiltshire Square",3197.31396484000,337.67932462500,"James Cruickshank"
6560,"B210I","B-07",1.23600000000,"DPR/DOE","Gonzalo Plasencia Playground",53077.45149230000,1048.13005579000,"Macceau Medozile"
6561,"B223DK","B-02",1.09300000000,"DPR","Brooklyn Heights Promenade",48663.81689450000,3485.00067040000,"Tannise Palmer"
6562,"B231","B-11",0.01500000000,"DPR","Samuel Goldberg Triangle",672.57373046900,120.02950738300,"Elizabeth Walsack"
6563,"X222","X-03",0.97700000000,"DPR/NYCHA","Gouverneur Playground",45303.00933840000,1079.38307190000,"Christopher Acosta"
6564,"X208","X-09",0.84000000000,"DPR/DOE","Haviland Playground",36618.79922490000,792.80146887200,"Michael Holoszyc"
